timestamp(ms), SignalACIFRNAOFILT,SignalStdIFR,Count, SignalACIFR,
"1713735440.492","2904","26",,,
"1713735440.493",,,"614","2940",
"1713735440.498","2907","25.96","615","2938",
"1713735440.503","2956",,,,
"1713735440.504",,"25.79","616","2938",
"1713735440.509","2922","26.34",,,
"1713735440.51",,,"617","2938",
"1713735440.515","2908","26.61",,,
"1713735440.516",,,"618","2936",
"1713735440.521","2957","26.47","619","2936",
"1713735440.526","2943",,,,
"1713735440.527",,"26.81","620","2934",
"1713735440.538","2957","27.12","621","2933",
"1713735440.539",,,"622","2933",
"1713735440.543","2971",,,,
"1713735440.544",,"27.18","623","2933",
"1713735440.549","2910",,,,
"1713735440.55",,"27.03","624","2935",
"1713735440.555","2943","27.02","625","2937",
"1713735440.56","2972",,,,
"1713735440.561",,"27.01","626","2940",
"1713735440.566","2904","26.77",,,
"1713735440.567",,,"627","2944",
"1713735440.572","2923","26.71","628","2949",
"1713735440.578","2958","26.92","629","2953",
"1713735440.583","2890",,,,
"1713735440.584",,"26.85","630","2956",
"1713735440.589","2908","26.54","631","2959",
"1713735440.595","2955","26.66","632","2963",
"1713735440.6","2904",,,,
"1713735440.601",,"26.75","633","2963",
"1713735440.606","2910","26.6","634","2963",
"1713735440.612","2958","26.66","635","2963",
"1713735440.618","2924","26.95","636","2959",
"1713735440.629","2921","27.05",,,
"1713735440.63","2967","27.11","638","2955",
"1713735440.635","2956","27.21","639","2950",
"1713735440.64","2925",,,,
"1713735440.641",,"27.25","640","2950",
"1713735440.646","2958",,,,
"1713735440.647",,"27.32","641","2948",
"1713735440.652","2970","27.25",,,
"1713735440.653",,,"642","2945",
"1713735440.658","2921","27.04","643","2948",
"1713735440.664","2940","27.12","644","2949",
"1713735440.669","2971",,,,
"1713735440.67",,"27.18","645","2951",
"1713735440.675","2909","26.95","646","2955",
"1713735440.681","2924","26.94","647","2957",
"1713735440.686","2968",,,,
"1713735440.687",,"27.03","648","2959",
"1713735440.692","2910","26.85",,,
"1713735440.693",,,"649","2962",
"1713735440.698","2922","26.75","650",,
"1713735440.699",,,,"2963",
"1713735440.704","2967","26.92","651","2963",
"1713735440.709","2927",,,,
"1713735440.71",,"26.88","652","2963",
"1713735440.721","2969","26.96","654","2961",
"1713735440.722",,,,"2960",
"1713735440.726","2956",,,,
"1713735440.727",,"27.03","655","2956",
"1713735440.732","2926",,,,
"1713735440.733",,"27.07","656",,
"1713735440.734",,,,"2954",
"1713735440.738","2968","27.13","657","2951",
"1713735440.744","2973","27.01","658","2948",
"1713735440.749","2921",,,,
"1713735440.75",,"26.82",,,
"1713735440.751",,,"659","2947",
"1713735440.755","2954","26.9","660","2947",
"1713735440.761","2973","26.82","661","2947",
"1713735440.766","2907",,,,
"1713735440.767",,"26.58","662","2949",
"1713735440.772","2925","26.59",,,
"1713735440.773",,,"663","2951",
"1713735440.778","2969","26.71","664",,
"1713735440.779",,,,"2953",
"1713735440.783","2893",,,,
"1713735440.784",,"26.54","665","2955",
"1713735440.789","2912",,,,
"1713735440.79",,"26.32","666","2958",
"1713735440.795","2958","26.55","667","2960",
"1713735440.801","2904","26.58","668","2960",
"1713735440.812","2912","26.44",,,
"1713735440.813","2958","26.48","670","2960",
"1713735440.818","2926","26.73","671","2957",
"1713735440.823","2922",,,,
"1713735440.825",,"26.84","672","2955",
"1713735440.829","2968",,,,
"1713735440.83",,"26.91","673","2953",
"1713735440.835","2955","26.97","674","2948",
"1713735440.84","2926",,,,
"1713735440.841",,"27.01","675","2946",
"1713735440.846","2958",,,,
"1713735440.847",,"27.1","676","2943",
"1713735440.852","2971","27.05","677",,
"1713735440.853",,,,"2940",
"1713735440.858","2921","26.84","678","2942",
"1713735440.864","2941","26.95","679","2942",
"1713735440.869","2971",,,,
"1713735440.87",,"26.95","680","2942",
"1713735440.875","2910",,,,
"1713735440.876",,"26.67","681","2947",
"1713735440.881","2928","26.72","682","2949",
"1713735440.886","2969",,,,
"1713735440.887",,"26.97","683","2952",
"1713735440.892","2909","26.79","684","2955",
"1713735440.903","2921",,,,
"1713735440.904","2968","26.94","686","2958",
"1713735440.909","2926",,,,
"1713735440.91",,"26.83","687","2958",
"1713735440.915","2924",,,,
"1713735440.916",,"26.84","688","2958",
"1713735440.921","2971","26.95","689","2957",
"1713735440.926","2957",,,,
"1713735440.927",,"26.9","690","2955",
"1713735440.932","2935","26.85",,,
"1713735440.933",,,"691",,
"1713735440.934",,,,"2953",
"1713735440.938","2972","26.95","692","2952",
"1713735440.944","2974","26.68","693","2949",
"1713735440.95","2927","26.36","694","2949",
"1713735440.955","2957","26.52",,,
"1713735440.956",,,"695","2949",
"1713735440.961","2985","26.39","696","2949",
"1713735440.966","2908",,,,
"1713735440.967",,"25.8","697","2951",
"1713735440.972","2937","25.89",,,
"1713735440.973",,,"698","2953",
"1713735440.978","2971","26.04","699",,
"1713735440.979",,,,"2955",
"1713735440.983","2894",,,,
"1713735440.984",,"25.81","700","2957",
"1713735440.995","2912","25.61","701","2957",
"1713735440.996","2954","25.84","702","2959",
"1713735441.001","2892","25.95","703","2959",
"1713735441.006","2903","25.7",,,
"1713735441.007",,,"704","2957",
"1713735441.012","2952",,,,
"1713735441.013",,"25.69","705","2956",
"1713735441.018","2907","25.92","706",,
"1713735441.019",,,,"2953",
"1713735441.023","2894",,,,
"1713735441.024",,"25.93",,,
"1713735441.025",,,"707","2951",
"1713735441.029","2942","25.79",,,
"1713735441.03",,,"708","2948",
"1713735441.035","2925","26.32","709","2943",
"1713735441.041","2895","26.4","710","2943",
"1713735441.046","2936",,,,
"1713735441.047",,"26.33","711","2942",
"1713735441.052","2939","26.34","712",,
"1713735441.053",,,,"2940",
"1713735441.058","2889","26.38","713","2942",
"1713735441.063","2908",,,,
"1713735441.064",,"26.24","714","2943",
"1713735441.07","2939","26.16","715","2944",
"1713735441.075","2879","26.21","716","2947",
"1713735441.086","2895",,,,
"1713735441.087","2938","25.67","718","2951",
"1713735441.092","2888","25.79","719","2954",
"1713735441.098","2894",,,,
"1713735441.099",,"25.44","720","2954",
"1713735441.103","2952",,,,
"1713735441.104",,"25.25","721","2954",
"1713735441.109","2906","25.52","722",,
"1713735441.11",,,,"2952",
"1713735441.115","2910","25.51",,,
"1713735441.116",,,"723","2950",
"1713735441.121","2956","25.43","724","2948",
"1713735441.126","2942",,,,
"1713735441.127",,"25.69","725","2945",
"1713735441.132","2921","25.95","726",,
"1713735441.133",,,,"2942",
"1713735441.138","2957","25.95",,,
"1713735441.139",,,"727","2940",
"1713735441.144","2970","25.95","728","2937",
"1713735441.149","2920","25.86","729",,
"1713735441.15",,,,"2936",
"1713735441.155","2952","25.88","730","2936",
"1713735441.161","2972","25.78","731","2936",
"1713735441.166","2905",,,,
"1713735441.167",,"25.5","732","2939",
"1713735441.178","2967","25.53","733","2941",
"1713735441.179",,"25.66","734","2944",
"1713735441.184","2890","25.45","735","2948",
"1713735441.189","2909",,,,
"1713735441.19",,"25.18","736",,
"1713735441.191",,,,"2951",
"1713735441.195","2957","25.41","737","2954",
"1713735441.201","2895","25.48","738","2956",
"1713735441.207","2908","25.26","739",,
"1713735441.208",,,,"2957",
"1713735441.212","2956","25.31",,,
"1713735441.213",,,"740","2957",
"1713735441.218","2921","25.5","741","2954",
"1713735441.223","2920",,,,
"1713735441.224",,"25.59","742","2953",
"1713735441.229","2958",,,,
"1713735441.23",,"25.68","743","2951",
"1713735441.235","2953","25.82","744","2946",
"1713735441.241","2923","25.81","745","2946",
"1713735441.246","2958",,,,
"1713735441.247",,"25.94","746","2944",
"1713735441.252","2958","25.84",,,
"1713735441.253",,,"747","2941",
"1713735441.258","2920","25.72","748","2943",
"1713735441.269","2939","25.99",,,
"1713735441.27","2967","26","749","2944",
"1713735441.271",,,"750","2944",
"1713735441.275","2905","25.71","751",,
"1713735441.276",,,,"2949",
"1713735441.305","2921",,,,
"1713735441.306",,"25.92","752","2952",
"1713735441.315","2955",,,,
"1713735441.316","2906","25.96","754","2960",
"1713735441.317","2909","26.15","757","2964",
"1713735441.319","2908","26.08","758",,
"1713735441.32",,,,"2963",
"1713735441.322","2956","26.1","759","2961",
"1713735441.326","2938","26.29","760","2958",
"1713735441.332","2911","26.54","761","2953",
"1713735441.338","2957","26.49","762","2948",
"1713735441.344","2959","26.65","763","2942",
"1713735441.349","2911","26.89","764","2938",
"1713735441.36","2952","26.84",,,
"1713735441.361","2973","26.8","766","2929",
"1713735441.366","2904","26.67","767","2928",
"1713735441.372","2925",,,,
"1713735441.373",,"26.59","768","2927",
"1713735441.378","2959","26.61","769","2927",
"1713735441.384","2889","26.65","770","2928",
"1713735441.389","2907","26.39",,,
"1713735441.39",,,"771","2930",
"1713735441.395","2954","26.37","772","2932",
"1713735441.4","2892","26.66","773",,
"1713735441.401",,,,"2934",
"1713735441.406","2904","26.52","774","2935",
"1713735441.412","2954","26.46","775","2936",
"1713735441.417","2910","26.86",,,
"1713735441.418",,,"776","2934",
"1713735441.423","2910","27.08","777","2933",
"1713735441.429","2957","27.06","778","2931",
"1713735441.435","2943","27.43","779","2928",
"1713735441.44","2921","27.6","780","2927",
"1713735441.452","2968","27.62","782","2924",
"1713735441.457","2909","27.4","783","2926",
"1713735441.463","2941","27.51",,,
"1713735441.464",,,"784","2926",
"1713735441.469","2967","27.46","785","2928",
"1713735441.475","2904","27.15","786","2933",
"1713735441.48","2920","27.27",,,
"1713735441.481",,,"787","2936",
"1713735441.486","2956","27.44","788","2941",
"1713735441.492","2894","27.28","789","2946",
"1713735441.498","2909","27.17","790","2949",
"1713735441.503","2954",,,,
"1713735441.504",,"27.36","791","2951",
"1713735441.509","2911","27.27",,,
"1713735441.51",,,"792","2953",
"1713735441.515","2912","27.24","793",,
"1713735441.516",,,,"2954",
"1713735441.521","2958","27.38","794","2955",
"1713735441.526","2940",,,,
"1713735441.527",,"27.35","795","2952",
"1713735441.532","2922","27.35","796","2951",
"1713735441.543","2959",,,,
"1713735441.544","2958","27.25","798","2945",
"1713735441.549","2905","27.08","799",,
"1713735441.55",,,,"2943",
"1713735441.555","2942",,,,
"1713735441.556",,"27.17","800",,
"1713735441.557",,,,"2942",
"1713735441.561","2968","27.1","801",,
"1713735441.562",,,,"2941",
"1713735441.566","2895",,,,
"1713735441.567",,"26.75","802","2943",
"1713735441.572","2921","26.81",,,
"1713735441.574",,,"803","2943",
"1713735441.578","2955","26.95","804","2944",
"1713735441.583","2888",,,,
"1713735441.584",,"26.8","805","2946",
"1713735441.589","2906","26.63",,,
"1713735441.59",,,"806","2948",
"1713735441.595","2952","26.78","807","2949",
"1713735441.601","2875","26.81","808","2950",
"1713735441.607","2908","26.38","809","2949",
"1713735441.613","2957","26.49","810","2950",
"1713735441.618","2920","26.7","811","2946",
"1713735441.624","2911","26.85","812","2945",
"1713735441.635","2959","26.88","813",,
"1713735441.636","2939","27.03",,"2942",
"1713735441.637",,,"814","2937",
"1713735441.641","2912","27.15","815","2936",
"1713735441.646","2954",,,,
"1713735441.647",,"27.2",,,
"1713735441.648",,,"816","2934",
"1713735441.652","2954","27.17",,,
"1713735441.653",,,"817","2931",
"1713735441.658","2905","27.09","818","2931",
"1713735441.663","2926",,,,
"1713735441.664",,"27.22","819","2932",
"1713735441.669","2952","27.22",,,
"1713735441.67",,,"820","2931",
"1713735441.675","2889","27.07","821",,
"1713735441.676",,,,"2935",
"1713735441.681","2907","27.07","822","2937",
"1713735441.687","2939","27.13","823","2939",
"1713735441.692","2887",,,,
"1713735441.693",,"27.11","824","2944",
"1713735441.698","2892","26.94","825",,
"1713735441.699",,,,"2945",
"1713735441.703","2939",,,,
"1713735441.704",,"26.96","826","2947",
"1713735441.709","2903","27.04","827","2949",
"1713735441.715","2895","26.98","828","2949",
"1713735441.726","2943","27.01","829",,
"1713735441.727","2925","27.1","830","2949",
"1713735441.732","2908","27.14","831","2948",
"1713735441.738","2955",,,,
"1713735441.739",,"27.27","832","2946",
"1713735441.743","2956","27.13",,,
"1713735441.744",,,"833","2944",
"1713735441.749","2910","26.94","834","2944",
"1713735441.755","2942","27.12",,,
"1713735441.756",,,"835","2944",
"1713735441.76","2969",,,,
"1713735441.761",,"27.05","836","2944",
"1713735441.766","2896","26.63",,,
"1713735441.767",,,"837","2946",
"1713735441.772","2923","26.91","838","2948",
"1713735441.778","2957","27.14","839","2950",
"1713735441.784","2889","26.91","840","2953",
"1713735441.789","2906","26.88","841","2956",
"1713735441.795","2953","27.2","842","2959",
"1713735441.8","2890",,,,
"1713735441.801",,"27.09","843","2959",
"1713735441.806","2905","26.92","844",,
"1713735441.807",,,,"2959",
"1713735441.818","2909","27.24","846","2957",
"1713735441.823","2911","27.26",,,
"1713735441.824",,,"847","2955",
"1713735441.829","2966",,,,
"1713735441.83",,"27.38","848","2952",
"1713735441.835","2942","27.4","849","2947",
"1713735441.84","2924",,,,
"1713735441.841",,"27.4","850","2945",
"1713735441.846","2968",,,,
"1713735441.847",,"27.56",,,
"1713735441.848",,,"851","2942",
"1713735441.852","2969","27.31","852","2938",
"1713735441.858","2923","26.94","853","2939",
"1713735441.863","2951","27.15",,,
"1713735441.864",,,"854","2939",
"1713735441.869","2969","27.02","855","2938",
"1713735441.875","2907","26.59","856","2942",
"1713735441.881","2921","26.8","857","2945",
"1713735441.886","2953",,,,
"1713735441.887",,"27.02","858","2948",
"1713735441.892","2888","26.84","859",,
"1713735441.893",,,,"2952",
"1713735441.898","2891","26.72","860","2955",
"1713735441.909","2935","26.92",,,
"1713735441.91","2888","26.93","862","2960",
"1713735441.915","2880","26.71",,,
"1713735441.916",,,"863","2960",
"1713735441.921","2926",,,,
"1713735441.922",,"26.58",,,
"1713735441.923",,,"864","2960",
"1713735441.926","2907",,,,
"1713735441.927",,"26.75","865","2958",
"1713735441.932","2889","26.74","866",,
"1713735441.933",,,,"2955",
"1713735441.938","2936","26.59","867","2952",
"1713735441.943","2936",,,,
"1713735441.944",,"26.73","868","2947",
"1713735441.949","2890","26.86",,,
"1713735441.95",,,"869","2946",
"1713735441.955","2925","26.72","870","2943",
"1713735441.961","2942","26.72","871","2940",
"1713735441.966","2878",,,,
"1713735441.967",,"26.7","872","2941",
"1713735441.972","2906","26.51","873","2941",
"1713735441.978","2940","26.6",,,
"1713735441.979",,,"874","2943",
"1713735441.983","2872",,,,
"1713735441.984",,"26.6","875","2946",
"1713735441.989","2888","26.24",,,
"1713735441.99",,,"876","2948",
"1713735442.001","2870","26.3","877","2951",
"1713735442.002",,"26.35","878","2954",
"1713735442.007","2889","25.78","879","2956",
"1713735442.012","2937",,,,
"1713735442.013",,"25.72",,,
"1713735442.014",,,"880","2957",
"1713735442.018","2892","26.01","881","2956",
"1713735442.023","2895",,,,
"1713735442.024",,"25.84","882","2954",
"1713735442.029","2952","25.79",,,
"1713735442.031",,,"883","2953",
"1713735442.035","2926","26.12","884","2948",
"1713735442.041","2908","26.23","885","2947",
"1713735442.046","2955",,,,
"1713735442.047",,"26.3","886","2944",
"1713735442.052","2954","26.34","887",,
"1713735442.053",,,,"2939",
"1713735442.058","2910","26.24","888","2940",
"1713735442.064","2941","26.35","889","2939",
"1713735442.069","2959",,,,
"1713735442.07",,"26.31","890","2939",
"1713735442.075","2904","26.1","891","2943",
"1713735442.081","2922","26.2","892","2946",
"1713735442.092","2954","26.36",,,
"1713735442.093","2892","26.22","894","2952",
"1713735442.098","2906","26.11","895","2954",
"1713735442.103","2943",,,,
"1713735442.104",,"26.22","896","2957",
"1713735442.109","2904","26.25",,,
"1713735442.11",,,"897","2959",
"1713735442.115","2905","26.15","898",,
"1713735442.116",,,,"2959",
"1713735442.121","2951","26.2",,,
"1713735442.122",,,"899","2959",
"1713735442.126","2923",,,,
"1713735442.127",,"26.33","900","2957",
"1713735442.132","2907","26.43",,,
"1713735442.133",,,"901","2954",
"1713735442.138","2954","26.39","902","2951",
"1713735442.144","2951","26.53","903","2946",
"1713735442.149","2907","26.66",,,
"1713735442.15",,,"904","2943",
"1713735442.155","2939","26.62","905","2940",
"1713735442.161","2956","26.67","906","2936",
"1713735442.166","2891",,,,
"1713735442.167",,"26.73","907","2935",
"1713735442.172","2920","26.53","908",,
"1713735442.173",,,,"2933",
"1713735442.183","2952",,,,
"1713735442.184","2876","26.65","910","2932",
"1713735442.189","2894","26.19",,,
"1713735442.19",,,"911","2932",
"1713735442.195","2940",,,,
"1713735442.196",,"26.03","912","2932",
"1713735442.201","2876","26.49","913","2931",
"1713735442.207","2891","26.11","914","2931",
"1713735442.212","2941","25.91",,,
"1713735442.213",,,"915",,
"1713735442.214",,,,"2931",
"1713735442.218","2892","26.62","916","2929",
"1713735442.223","2895",,,,
"1713735442.224",,"26.66","917","2928",
"1713735442.229","2952",,,,
"1713735442.23",,"26.51","918","2927",
"1713735442.235","2924","27.16","919",,
"1713735442.236",,,,"2922",
"1713735442.241","2908","27.53","920","2922",
"1713735442.246","2953",,,,
"1713735442.247",,"27.51","921","2921",
"1713735442.252","2944","27.72","922",,
"1713735442.253",,,,"2918",
"1713735442.258","2907","27.85","923","2919",
"1713735442.263","2938",,,,
"1713735442.264",,"27.85","924","2921",
"1713735442.275","2895","27.84","925","2920",
"1713735442.276",,"27.72","926","2925",
"1713735442.281","2921","27.73","927","2928",
"1713735442.286","2953",,,,
"1713735442.287",,"27.78",,,
"1713735442.288",,,"928","2931",
"1713735442.292","2892","27.68","929","2937",
"1713735442.298","2907","27.56","930","2941",
